_id,Name,Price,NewPrice,OldPrice,Size,Time,LastBump,Link
6703145470938dafb43b4fc7,Chrome Hearts Honolulu Exclusive Pocket Tee 🥷🏻,$220,,,M,,about 5 hours ago,https://www.grailed.com/listings/68599623-chrome-hearts-chrome-hearts-honolulu-exclusive-pocket-tee?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fc8,Chrome Hearts Trucker,,$343,$425,OS,(15 days),about 5 hours ago(15 days),https://www.grailed.com/listings/67791603-chrome-hearts-chrome-hearts-trucker?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fc9,Chrome Hearts Silver Rings Poster,,$85,$200,OS,(3 months),about 5 hours ago(3 months),https://www.grailed.com/listings/64024532-chrome-hearts-chrome-hearts-silver-rings-poster?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fca,x Drake Certified Lover Boy Hand Dyed Hooded Sweatshirt Was,$1823,,,L,(7 days),about 5 hours ago(7 days),https://www.grailed.com/listings/68213669-chrome-hearts-x-drake-certified-lover-boy-hand-dyed-hooded-sweatshirt-was?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fcb,Barbie by Chrome Hearts Poster,,$99,$200,OS,(about 1 month),about 5 hours ago(about 1 month),https://www.grailed.com/listings/66221186-chrome-hearts-barbie-by-chrome-hearts-poster?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fcc,Rolling Stones Big Lip Hooded Sweatshirt White Red,$1367,,,XL,(7 days),about 5 hours ago(7 days),https://www.grailed.com/listings/68213616-chrome-hearts-rolling-stones-big-lip-hooded-sweatshirt-white-red?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
6703145470938dafb43b4fcd,Chrome Hearts Pamela Anderson Split Poster,,$89,$200,OS,(3 months),about 5 hours ago(3 months),https://www.grailed.com/listings/63977964-chrome-hearts-chrome-hearts-pamela-anderson-split-poster?g_aidx=Listing_production&g_aqid=ed4d3e8b4e47da0c86442bac4b1ffdd3
671c1df6e382a9df1b29a306,Chrome Hearts Lab Coat,,$1312,$1800,M,(11 days),6 minutes ago(11 days),https://www.grailed.com/listings/69017635-chrome-hearts-chrome-hearts-lab-coat?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a307,Chrome Hearts Matty Boy Tokyo Racing Exclusive Tee Shirt,$475,,,XL,,7 minutes ago,https://www.grailed.com/listings/69564220-chrome-hearts-chrome-hearts-matty-boy-tokyo-racing-exclusive-tee-shirt?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a308,Chrome Hearts White & Black Deadly Doll Sweatpants,$555,,,32,(28 days),8 minutes ago(28 days),https://www.grailed.com/listings/68126386-chrome-hearts-x-deadly-doll-chrome-hearts-white-black-deadly-doll-sweatpants?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a309,Chrome Hearts White Embroidered Logo T-Shirt,$555,,,L,(28 days),11 minutes ago(28 days),https://www.grailed.com/listings/68126239-chrome-hearts-chrome-hearts-white-embroidered-logo-t-shirt?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30a,Chrome Hearts Cuntvoluted 18K GP,$1600,,,OS,,11 minutes ago,https://www.grailed.com/listings/69564078-chrome-hearts-chrome-hearts-cuntvoluted-18k-gp?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30b,CH BELT STRAP BLACK,$750,,,30,,15 minutes ago,https://www.grailed.com/listings/69563825-chrome-hearts-ch-belt-strap-black?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30c,Chrome Hearts Cross Patch Jeans,$18000,,,31,,19 minutes ago,https://www.grailed.com/listings/69563520-chrome-hearts-chrome-hearts-cross-patch-jeans?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30d,Cemetery Cross Long Sleeve,,$450,$495,L,(10 days),22 minutes ago(10 days),https://www.grailed.com/listings/69076298-chrome-hearts-cemetery-cross-long-sleeve?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30e,Chrome hearts trucker Miami,,$450,$500,OS,(about 2 hours),23 minutes ago(about 2 hours),https://www.grailed.com/listings/69557288-chrome-hearts-chrome-hearts-trucker-miami?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a30f,Matty boy form mesh short sleeve jersey,$1728,,,XL,,31 minutes ago,https://www.grailed.com/listings/69562100-chrome-hearts-matty-boy-form-mesh-short-sleeve-jersey?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a310,Chrome Hearts Sex Records Event Vip invitation,,$110,$137,OS,(21 days),31 minutes ago(21 days),https://www.grailed.com/listings/68512758-chrome-hearts-x-matty-boy-chrome-hearts-sex-records-event-vip-invitation?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a311,Chrome Hearts Cross Ball Button Dagger Zip Jacket,$12750,,,M,(6 days),34 minutes ago(6 days),https://www.grailed.com/listings/69217801-chrome-hearts-chrome-hearts-cross-ball-button-dagger-zip-jacket?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a312,Chrome Hearts Rashguard Surf Shirt,$950,,,XXL,(21 days),34 minutes ago(21 days),https://www.grailed.com/listings/68512641-chrome-hearts-chrome-hearts-rashguard-surf-shirt?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
